_month,_previousMonth,_previousYear,Date,Industry (NAICS)1,_valueConnector,Dollars
January2015,2014-12-01,2014-01-01,1/1/2015,General merchandise stores,113852000,113852000
February2015,2015-01-01,2014-02-01,2/1/2015,General merchandise stores,106266000,106266000
March2015,2015-02-01,2014-03-01,3/1/2015,General merchandise stores,118740000,118740000
April2015,2015-03-01,2014-04-01,4/1/2015,General merchandise stores,131239000,131239000
May2015,2015-04-01,2014-05-01,5/1/2015,General merchandise stores,151461000,151461000
June2015,2015-05-01,2014-06-01,6/1/2015,General merchandise stores,144118000,144118000
July2015,2015-06-01,2014-07-01,7/1/2015,General merchandise stores,149157000,149157000
August2015,2015-07-01,2014-08-01,8/1/2015,General merchandise stores,143097000,143097000
September2015,2015-08-01,2014-09-01,9/1/2015,General merchandise stores,139825000,139825000
October2015,2015-09-01,2014-10-01,10/1/2015,General merchandise stores,147939000,147939000
November2015,2015-10-01,2014-11-01,11/1/2015,General merchandise stores,166838000,166838000
December2015,2015-11-01,2014-12-01,12/1/2015,General merchandise stores,221368000,221368000
January2016,2015-12-01,2015-01-01,1/1/2016,General merchandise stores,116160000,116160000
February2016,2016-01-01,2015-02-01,2/1/2016,General merchandise stores,112416000,112416000
March2016,2016-02-01,2015-03-01,3/1/2016,General merchandise stores,129064000,129064000
April2016,2016-03-01,2015-04-01,4/1/2016,General merchandise stores,139464000,139464000
May2016,2016-04-01,2015-05-01,5/1/2016,General merchandise stores,150611000,150611000
June2016,2016-05-01,2015-06-01,6/1/2016,General merchandise stores,149879000,149879000
July2016,2016-06-01,2015-07-01,7/1/2016,General merchandise stores,150092000,150092000
August2016,2016-07-01,2015-08-01,8/1/2016,General merchandise stores,143535000,143535000
September2016,2016-08-01,2015-09-01,9/1/2016,General merchandise stores,143733000,143733000
October2016,2016-09-01,2015-10-01,10/1/2016,General merchandise stores,148231000,148231000
November2016,2016-10-01,2015-11-01,11/1/2016,General merchandise stores,171240000,171240000
December2016,2016-11-01,2015-12-01,12/1/2016,General merchandise stores,219966000,219966000
January2017,2016-12-01,2016-01-01,1/1/2017,General merchandise stores,117938000,117938000
February2017,2017-01-01,2016-02-01,2/1/2017,General merchandise stores,112142000,112142000
March2017,2017-02-01,2016-03-01,3/1/2017,General merchandise stores,132441000,132441000
April2017,2017-03-01,2016-04-01,4/1/2017,General merchandise stores,155998000,155998000
May2017,2017-04-01,2016-05-01,5/1/2017,General merchandise stores,162147000,162147000
June2017,2017-05-01,2016-06-01,6/1/2017,General merchandise stores,165272000,165272000
July2017,2017-06-01,2016-07-01,7/1/2017,General merchandise stores,162619000,162619000
August2017,2017-07-01,2016-08-01,8/1/2017,General merchandise stores,155629000,155629000
September2017,2017-08-01,2016-09-01,9/1/2017,General merchandise stores,148439000,148439000
October2017,2017-09-01,2016-10-01,10/1/2017,General merchandise stores,153470000,153470000
November2017,2017-10-01,2016-11-01,11/1/2017,General merchandise stores,181108000,181108000
December2017,2017-11-01,2016-12-01,12/1/2017,General merchandise stores,226016000,226016000
January2018,2017-12-01,2017-01-01,1/1/2018,General merchandise stores,116045000,116045000
February2018,2018-01-01,2017-02-01,2/1/2018,General merchandise stores,115214000,115214000
March2018,2018-02-01,2017-03-01,3/1/2018,General merchandise stores,143600000,143600000
April2018,2018-03-01,2017-04-01,4/1/2018,General merchandise stores,139836000,139836000
May2018,2018-04-01,2017-05-01,5/1/2018,General merchandise stores,165169000,165169000
June2018,2018-05-01,2017-06-01,6/1/2018,General merchandise stores,164330000,164330000
July2018,2018-06-01,2017-07-01,7/1/2018,General merchandise stores,162273000,162273000
August2018,2018-07-01,2017-08-01,8/1/2018,General merchandise stores,157455000,157455000
September2018,2018-08-01,2017-09-01,9/1/2018,General merchandise stores,154998000,154998000
October2018,2018-09-01,2017-10-01,10/1/2018,General merchandise stores,153584000,153584000
November2018,2018-10-01,2017-11-01,11/1/2018,General merchandise stores,185546000,185546000
December2018,2018-11-01,2017-12-01,12/1/2018,General merchandise stores,231844000,231844000
January2019,2018-12-01,2018-01-01,1/1/2019,General merchandise stores,120927000,120927000
February2019,2019-01-01,2018-02-01,2/1/2019,General merchandise stores,120356000,120356000
March2019,2019-02-01,2018-03-01,3/1/2019,General merchandise stores,141831000,141831000
April2019,2019-03-01,2018-04-01,4/1/2019,General merchandise stores,154062000,154062000
May2019,2019-04-01,2018-05-01,5/1/2019,General merchandise stores,166491000,166491000
June2019,2019-05-01,2018-06-01,6/1/2019,General merchandise stores,175443000,175443000
July2019,2019-06-01,2018-07-01,7/1/2019,General merchandise stores,170145000,170145000
August2019,2019-07-01,2018-08-01,8/1/2019,General merchandise stores,166984000,166984000
September2019,2019-08-01,2018-09-01,9/1/2019,General merchandise stores,156876000,156876000
October2019,2019-09-01,2018-10-01,10/1/2019,General merchandise stores,165726000,165726000
November2019,2019-10-01,2018-11-01,11/1/2019,General merchandise stores,195070000,195070000
December2019,2019-11-01,2018-12-01,12/1/2019,General merchandise stores,229883000,229883000
January2020,2019-12-01,2019-01-01,1/1/2020,General merchandise stores,127402000,127402000
February2020,2020-01-01,2019-02-01,2/1/2020,General merchandise stores,134809000,134809000
April2020,2020-03-01,2019-04-01,4/1/2020,General merchandise stores,149998000,149998000
May2020,2020-04-01,2019-05-01,5/1/2020,General merchandise stores,209484000,209484000
June2020,2020-05-01,2019-06-01,6/1/2020,General merchandise stores,206412000,206412000
July2020,2020-06-01,2019-07-01,7/1/2020,General merchandise stores,196026000,196026000
August2020,2020-07-01,2019-08-01,8/1/2020,General merchandise stores,187694000,187694000
September2020,2020-08-01,2019-09-01,9/1/2020,General merchandise stores,186601000,186601000
October2020,2020-09-01,2019-10-01,10/1/2020,General merchandise stores,196071000,196071000
November2020,2020-10-01,2019-11-01,11/1/2020,General merchandise stores,233142000,233142000
December2020,2020-11-01,2019-12-01,12/1/2020,General merchandise stores,237469000,237469000
January2021,2020-12-01,2020-01-01,1/1/2021,General merchandise stores,154821000,154821000
February2021,2021-01-01,2020-02-01,2/1/2021,General merchandise stores,151412000,151412000
March2021,2021-02-01,2020-03-01,3/1/2021,General merchandise stores,184178000,184178000
April2021,2021-03-01,2020-04-01,4/1/2021,General merchandise stores,180254000,180254000
May2021,2021-04-01,2020-05-01,5/1/2021,General merchandise stores,188750000,188750000
June2021,2021-05-01,2020-06-01,6/1/2021,General merchandise stores,212880000,212880000
July2021,2021-06-01,2020-07-01,7/1/2021,General merchandise stores,203698000,203698000
August2021,2021-07-01,2020-08-01,8/1/2021,General merchandise stores,197387000,197387000
September2021,2021-08-01,2020-09-01,9/1/2021,General merchandise stores,197530000,197530000
October2021,2021-09-01,2020-10-01,10/1/2021,General merchandise stores,209636000,209636000
November2021,2021-10-01,2020-11-01,11/1/2021,General merchandise stores,240598000,240598000
December2021,2021-11-01,2020-12-01,12/1/2021,General merchandise stores,271921000,271921000
January2022,2021-12-01,2021-01-01,1/1/2022,General merchandise stores,161109000,161109000
February2022,2022-01-01,2021-02-01,2/1/2022,General merchandise stores,160468000,160468000
September2004,2004-08-01,2003-09-01,9/1/2004,Health and personal care stores,56824000,56824000
August2005,2005-07-01,2004-08-01,8/1/2005,Health and personal care stores,59658000,59658000
October2005,2005-09-01,2004-10-01,10/1/2005,Health and personal care stores,59058000,59058000
November2005,2005-10-01,2004-11-01,11/1/2005,Health and personal care stores,60206000,60206000
December2005,2005-11-01,2004-12-01,12/1/2005,Health and personal care stores,70606000,70606000
January2006,2005-12-01,2005-01-01,1/1/2006,Health and personal care stores,57459000,57459000
February2006,2006-01-01,2005-02-01,2/1/2006,Health and personal care stores,48754000,48754000
March2006,2006-02-01,2005-03-01,3/1/2006,Health and personal care stores,57741000,57741000
April2006,2006-03-01,2005-04-01,4/1/2006,Health and personal care stores,55481000,55481000
May2006,2006-04-01,2005-05-01,5/1/2006,Health and personal care stores,61370000,61370000
June2006,2006-05-01,2005-06-01,6/1/2006,Health and personal care stores,60979000,60979000
July2006,2006-06-01,2005-07-01,7/1/2006,Health and personal care stores,60367000,60367000
August2006,2006-07-01,2005-08-01,8/1/2006,Health and personal care stores,63536000,63536000
November2006,2006-10-01,2005-11-01,11/1/2006,Health and personal care stores,70273000,70273000
December2006,2006-11-01,2005-12-01,12/1/2006,Health and personal care stores,83831000,83831000
January2007,2006-12-01,2006-01-01,1/1/2007,Health and personal care stores,66356000,66356000
May2007,2007-04-01,2006-05-01,5/1/2007,Health and personal care stores,63071000,63071000
June2007,2007-05-01,2006-06-01,6/1/2007,Health and personal care stores,60324000,60324000
July2007,2007-06-01,2006-07-01,7/1/2007,Health and personal care stores,58814000,58814000
August2007,2007-07-01,2006-08-01,8/1/2007,Health and personal care stores,62815000,62815000
September2007,2007-08-01,2006-09-01,9/1/2007,Health and personal care stores,61042000,61042000
October2007,2007-09-01,2006-10-01,10/1/2007,Health and personal care stores,68811000,68811000
November2007,2007-10-01,2006-11-01,11/1/2007,Health and personal care stores,62440000,62440000
December2007,2007-11-01,2006-12-01,12/1/2007,Health and personal care stores,73057000,73057000
January2008,2007-12-01,2007-01-01,1/1/2008,Health and personal care stores,63262000,63262000
February2008,2008-01-01,2007-02-01,2/1/2008,Health and personal care stores,62503000,62503000
March2008,2008-02-01,2007-03-01,3/1/2008,Health and personal care stores,67018000,67018000
April2008,2008-03-01,2007-04-01,4/1/2008,Health and personal care stores,63997000,63997000
May2008,2008-04-01,2007-05-01,5/1/2008,Health and personal care stores,67390000,67390000
June2008,2008-05-01,2007-06-01,6/1/2008,Health and personal care stores,63357000,63357000
July2008,2008-06-01,2007-07-01,7/1/2008,Health and personal care stores,64451000,64451000
August2008,2008-07-01,2007-08-01,8/1/2008,Health and personal care stores,64680000,64680000
September2008,2008-08-01,2007-09-01,9/1/2008,Health and personal care stores,65969000,65969000
October2008,2008-09-01,2007-10-01,10/1/2008,Health and personal care stores,69612000,69612000
November2008,2008-10-01,2007-11-01,11/1/2008,Health and personal care stores,68167000,68167000
December2008,2008-11-01,2007-12-01,12/1/2008,Health and personal care stores,78649000,78649000
January2009,2008-12-01,2008-01-01,1/1/2009,Health and personal care stores,69655000,69655000
February2009,2009-01-01,2008-02-01,2/1/2009,Health and personal care stores,65300000,65300000
March2009,2009-02-01,2008-03-01,3/1/2009,Health and personal care stores,71639000,71639000
April2009,2009-03-01,2008-04-01,4/1/2009,Health and personal care stores,70128000,70128000
May2009,2009-04-01,2008-05-01,5/1/2009,Health and personal care stores,70497000,70497000
November2009,2009-10-01,2008-11-01,11/1/2009,Health and personal care stores,71201000,71201000
December2009,2009-11-01,2008-12-01,12/1/2009,Health and personal care stores,78705000,78705000
February2010,2010-01-01,2009-02-01,2/1/2010,Health and personal care stores,68553000,68553000
March2010,2010-02-01,2009-03-01,3/1/2010,Health and personal care stores,76074000,76074000
June2010,2010-05-01,2009-06-01,6/1/2010,Health and personal care stores,72065000,72065000
April2012,2012-03-01,2011-04-01,4/1/2012,Health and personal care stores,78670000,78670000
May2012,2012-04-01,2011-05-01,5/1/2012,Health and personal care stores,79103000,79103000
June2012,2012-05-01,2011-06-01,6/1/2012,Health and personal care stores,76514000,76514000
July2012,2012-06-01,2011-07-01,7/1/2012,Health and personal care stores,76721000,76721000
August2012,2012-07-01,2011-08-01,8/1/2012,Health and personal care stores,79489000,79489000
September2012,2012-08-01,2011-09-01,9/1/2012,Health and personal care stores,73992000,73992000
October2012,2012-09-01,2011-10-01,10/1/2012,Health and personal care stores,82274000,82274000
November2012,2012-10-01,2011-11-01,11/1/2012,Health and personal care stores,86682000,86682000
December2012,2012-11-01,2011-12-01,12/1/2012,Health and personal care stores,99928000,99928000
January2013,2012-12-01,2012-01-01,1/1/2013,Health and personal care stores,82546000,82546000
February2013,2013-01-01,2012-02-01,2/1/2013,Health and personal care stores,76312000,76312000
March2013,2013-02-01,2012-03-01,3/1/2013,Health and personal care stores,85556000,85556000
April2013,2013-03-01,2012-04-01,4/1/2013,Health and personal care stores,83519000,83519000
May2013,2013-04-01,2012-05-01,5/1/2013,Health and personal care stores,84074000,84074000
June2013,2013-05-01,2012-06-01,6/1/2013,Health and personal care stores,79863000,79863000
July2013,2013-06-01,2012-07-01,7/1/2013,Health and personal care stores,80451000,80451000
August2013,2013-07-01,2012-08-01,8/1/2013,Health and personal care stores,81818000,81818000
September2013,2013-08-01,2012-09-01,9/1/2013,Health and personal care stores,79796000,79796000
October2013,2013-09-01,2012-10-01,10/1/2013,Health and personal care stores,85875000,85875000
November2013,2013-10-01,2012-11-01,11/1/2013,Health and personal care stores,87762000,87762000
December2013,2013-11-01,2012-12-01,12/1/2013,Health and personal care stores,97184000,97184000
January2014,2013-12-01,2013-01-01,1/1/2014,Health and personal care stores,81008000,81008000
February2014,2014-01-01,2013-02-01,2/1/2014,Health and personal care stores,77357000,77357000
March2014,2014-02-01,2013-03-01,3/1/2014,Health and personal care stores,83369000,83369000
April2014,2014-03-01,2013-04-01,4/1/2014,Health and personal care stores,82697000,82697000
May2014,2014-04-01,2013-05-01,5/1/2014,Health and personal care stores,83102000,83102000
June2014,2014-05-01,2013-06-01,6/1/2014,Health and personal care stores,82072000,82072000
July2014,2014-06-01,2013-07-01,7/1/2014,Health and personal care stores,85313000,85313000
August2014,2014-07-01,2013-08-01,8/1/2014,Health and personal care stores,85602000,85602000
September2014,2014-08-01,2013-09-01,9/1/2014,Health and personal care stores,82795000,82795000
October2014,2014-09-01,2013-10-01,10/1/2014,Health and personal care stores,90482000,90482000
November2014,2014-10-01,2013-11-01,11/1/2014,Health and personal care stores,88958000,88958000
December2014,2014-11-01,2013-12-01,12/1/2014,Health and personal care stores,103205000,103205000
January2015,2014-12-01,2014-01-01,1/1/2015,Health and personal care stores,85283000,85283000
February2015,2015-01-01,2014-02-01,2/1/2015,Health and personal care stores,76780000,76780000
