_previousMonth,_previousYear,Business dynamics measure,Date,Industry,_activeBusinesses,_businessCounts,_valueConnector,Value
2021-09-01,2020-10-01,Reopening businesses,2021-10-01,Business sector industries [T004],,,,
2021-10-01,2020-11-01,Reopening businesses,2021-11-01,Business sector industries [T004],,,,
2021-11-01,2020-12-01,Reopening businesses,2021-12-01,Business sector industries [T004],,,,
2021-02-01,2020-03-01,Temporary closures,2021-03-01,Business sector industries [T004],,,,
2021-03-01,2020-04-01,Temporary closures,2021-04-01,Business sector industries [T004],,,,
2021-04-01,2020-05-01,Temporary closures,2021-05-01,Business sector industries [T004],,,,
2021-05-01,2020-06-01,Temporary closures,2021-06-01,Business sector industries [T004],,,,
2021-06-01,2020-07-01,Temporary closures,2021-07-01,Business sector industries [T004],,,,
2021-12-01,2021-01-01,Exits,2022-01-01,Business sector industries [T004],,,,
2021-12-01,2021-01-01,Temporary closures,2022-01-01,Business sector industries [T004],,,,
2021-12-01,2021-01-01,Active businesses,2022-01-01,Business sector industries [T004],10099,,10099,10099
2021-12-01,2021-01-01,Closing businesses,2022-01-01,Business sector industries [T004],,-314,,314
2021-12-01,2021-01-01,Continuing businesses,2022-01-01,Business sector industries [T004],,,,9756
2021-12-01,2021-01-01,Opening businesses,2022-01-01,Business sector industries [T004],,365,,365
2021-12-01,2021-01-01,Entrants,2022-01-01,Business sector industries [T004],,,,
2021-12-01,2021-01-01,Reopening businesses,2022-01-01,Business sector industries [T004],,,,
2020-12-01,2020-01-01,Entrants,2021-01-01,Business sector industries [T004],,,,
2021-01-01,2020-02-01,Entrants,2021-02-01,Business sector industries [T004],,,,
2020-03-01,2019-04-01,Exits,2020-04-01,Business sector industries [T004],,,,
2020-04-01,2019-05-01,Exits,2020-05-01,Business sector industries [T004],,,,
2020-05-01,2019-06-01,Exits,2020-06-01,Business sector industries [T004],,,,
2020-06-01,2019-07-01,Exits,2020-07-01,Business sector industries [T004],,,,
2020-07-01,2019-08-01,Exits,2020-08-01,Business sector industries [T004],,,,
2020-08-01,2019-09-01,Exits,2020-09-01,Business sector industries [T004],,,,
2020-09-01,2019-10-01,Exits,2020-10-01,Business sector industries [T004],,,,
2020-10-01,2019-11-01,Exits,2020-11-01,Business sector industries [T004],,,,
2020-11-01,2019-12-01,Exits,2020-12-01,Business sector industries [T004],,,,
2020-01-01,2019-02-01,Entrants,2020-02-01,Business sector industries [T004],,,,
2020-02-01,2019-03-01,Entrants,2020-03-01,Business sector industries [T004],,,,
2019-05-01,2018-06-01,Exits,2019-06-01,Business sector industries [T004],,,,
2019-06-01,2018-07-01,Exits,2019-07-01,Business sector industries [T004],,,,
2019-07-01,2018-08-01,Exits,2019-08-01,Business sector industries [T004],,,,
2019-08-01,2018-09-01,Exits,2019-09-01,Business sector industries [T004],,,,
2019-09-01,2018-10-01,Exits,2019-10-01,Business sector industries [T004],,,,
2019-10-01,2018-11-01,Exits,2019-11-01,Business sector industries [T004],,,,
2019-11-01,2018-12-01,Exits,2019-12-01,Business sector industries [T004],,,,
2019-12-01,2019-01-01,Exits,2020-01-01,Business sector industries [T004],,,,
